STATE,"Sex, Race, and Hispanic-Origin",Total population,Total citizen population,Total registered,"Percent registered
(Total)",Margin of error 1,"Percent registered
(Citizen)",Margin of error 1,Total voted,"Percent voted
(Total)",Margin of error 1,"Percent voted
(Citizen)",Margin of error 1
US,Total,"249,748","228,832","153,066",61.3,0.3,66.9,0.3,"122,281",49.0,0.3,53.4,0.3
US,Male,"120,573","110,006","71,726",59.5,0.4,65.2,0.4,"56,964",47.2,0.4,51.8,0.5
US,Female,"129,176","118,826","81,340",63.0,0.4,68.5,0.4,"65,317",50.6,0.4,55.0,0.4
US,White alone,"194,127","180,522","123,727",63.7,0.3,68.5,0.3,"99,255",51.1,0.3,55.0,0.4
US,White non-Hispanic alone,"157,610","154,982","110,054",69.8,0.4,71.0,0.4,"89,075",56.5,0.4,57.5,0.4
US,Black alone,"31,623","29,758","19,023",60.2,1.0,63.9,1.0,"15,194",48.0,1.0,51.1,1.1
US,Asian alone,"15,659","11,128","5,898",37.7,1.5,53.0,1.8,"4,519",28.9,1.4,40.6,1.8
US,Hispanic (of any race),"41,049","28,955","15,558",37.9,1.2,53.7,1.4,"11,695",28.5,1.1,40.4,1.4
US,White alone or in combination,"198,477","184,394","126,194",63.6,0.3,68.4,0.3,"101,115",50.9,0.3,54.8,0.4
US,Black alone or in combination,"33,595","31,422","20,015",59.6,1.0,63.7,1.0,"15,887",47.3,1.0,50.6,1.1
US,Asian alone or in combination,"16,733","12,170","6,595",39.4,1.5,54.2,1.8,"5,080",30.4,1.4,41.7,1.7
ALABAMA,Total,"3,753","3,609","2,490",66.4,2.5,69.0,2.5,"1,830",48.8,2.7,50.7,2.7
ALABAMA,Male,"1,772","1,681","1,122",63.3,3.7,66.7,3.8,821,46.3,3.9,48.8,4.0
ALABAMA,Female,"1,982","1,927","1,368",69.0,3.4,71.0,3.4,"1,010",50.9,3.7,52.4,3.7
ALABAMA,White alone,"2,610","2,534","1,774",68.0,3.0,70.0,3.0,"1,309",50.1,3.2,51.6,3.2
ALABAMA,White non-Hispanic alone,"2,494","2,470","1,760",70.6,3.0,71.3,3.0,"1,298",52.1,3.3,52.6,3.3
ALABAMA,Black alone,976,975,657,67.2,5.9,67.4,5.9,483,49.4,6.3,49.5,6.3
ALABAMA,Asian alone,61,37,13,B,B,B,B,7,B,B,B,B
ALABAMA,Hispanic (of any race),169,77,26,15.6,14.3,34.3,27.8,22,13.2,13.4,29.1,26.6
ALABAMA,White alone or in combination,"2,636","2,561","1,796",68.1,3.0,70.1,3.0,"1,322",50.2,3.2,51.6,3.2
ALABAMA,Black alone or in combination,979,977,659,67.3,5.9,67.4,5.9,485,49.6,6.3,49.6,6.3
ALABAMA,Asian alone or in combination,61,37,13,B,B,B,B,7,B,B,B,B
ALASKA,Total,523,497,337,64.4,2.7,67.7,2.7,263,50.2,2.9,52.8,2.9
ALASKA,Male,265,255,175,65.9,3.8,68.4,3.8,133,50.2,4.0,52.1,4.1
ALASKA,Female,258,242,162,62.9,3.9,67.1,3.9,130,50.2,4.1,53.6,4.2
ALASKA,White alone,330,324,236,71.6,3.2,73.0,3.2,193,58.6,3.5,59.7,3.6
ALASKA,White non-Hispanic alone,314,310,229,73.0,3.3,73.9,3.3,187,59.5,3.6,60.3,3.6
ALASKA,Black alone,16,15,9,B,B,B,B,8,B,B,B,B
ALASKA,Asian alone,55,37,23,B,B,B,B,15,B,B,B,B
ALASKA,Hispanic (of any race),20,18,10,B,B,B,B,8,B,B,B,B
ALASKA,White alone or in combination,356,350,255,71.6,3.1,72.9,3.1,210,59.0,3.4,60.1,3.4
ALASKA,Black alone or in combination,18,17,11,B,B,B,B,9,B,B,B,B
ALASKA,Asian alone or in combination,60,42,25,B,B,B,B,18,B,B,B,B
ARIZONA,Total,"5,361","4,757","3,262",60.8,2.2,68.6,2.2,"2,800",52.2,2.3,58.9,2.4
ARIZONA,Male,"2,606","2,259","1,539",59.0,3.2,68.1,3.2,"1,288",49.4,3.2,57.0,3.5
ARIZONA,Female,"2,755","2,497","1,723",62.5,3.1,69.0,3.1,"1,512",54.9,3.1,60.6,3.2
ARIZONA,White alone,"4,635","4,168","2,968",64.0,2.3,71.2,2.3,"2,535",54.7,2.4,60.8,2.5
ARIZONA,White non-Hispanic alone,"3,128","3,065","2,272",72.6,2.6,74.1,2.6,"2,000",63.9,2.8,65.3,2.8
ARIZONA,Black alone,257,222,114,44.4,12.4,51.5,13.5,104,40.6,12.3,47.0,13.4
ARIZONA,Asian alone,198,106,63,32.0,13.9,59.8,20.0,59,30.0,13.6,56.1,20.2
ARIZONA,Hispanic (of any race),"1,624","1,205",757,46.6,6.4,62.8,7.2,588,36.2,6.2,48.8,7.5
ARIZONA,White alone or in combination,"4,688","4,216","2,996",63.9,2.3,71.1,2.3,"2,563",54.7,2.4,60.8,2.5
ARIZONA,Black alone or in combination,280,239,132,47.0,12.0,55.0,12.9,122,43.5,11.9,50.9,13.0
ARIZONA,Asian alone or in combination,209,117,71,34.0,13.7,60.8,18.9,67,32.1,13.5,57.4,19.1
ARKANSAS,Total,"2,261","2,158","1,262",55.8,2.7,58.5,2.8,919,40.6,2.7,42.6,2.8
ARKANSAS,Male,"1,093","1,034",602,55.1,4.0,58.3,4.0,431,39.4,3.9,41.7,4.0
ARKANSAS,Female,"1,169","1,125",660,56.5,3.8,58.7,3.9,488,41.8,3.8,43.4,3.9
ARKANSAS,White alone,"1,833","1,765","1,031",56.2,3.0,58.4,3.1,756,41.3,3.0,42.8,3.1
ARKANSAS,White non-Hispanic alone,"1,678","1,676",995,59.3,3.2,59.3,3.2,737,43.9,3.2,44.0,3.2
ARKANSAS,Black alone,327,317,178,54.5,8.8,56.1,8.9,132,40.3,8.6,41.6,8.8
ARKANSAS,Asian alone,37,19,9,B,B,B,B,6,B,B,B,B
ARKANSAS,Hispanic (of any race),172,102,43,25.2,13.7,42.3,20.2,21,12.3,10.4,20.8,16.6
ARKANSAS,White alone or in combination,"1,878","1,805","1,061",56.5,3.0,58.7,3.0,771,41.1,3.0,42.7,3.1
ARKANSAS,Black alone or in combination,336,325,184,54.7,8.6,56.6,8.8,135,40.2,8.5,41.6,8.7
ARKANSAS,Asian alone or in combination,53,31,18,B,B,B,B,7,B,B,B,B
CALIFORNIA,Total,"30,243","25,525","15,690",51.9,1.0,61.5,1.0,"13,240",43.8,0.9,51.9,1.0
CALIFORNIA,Male,"14,767","12,449","7,372",49.9,1.4,59.2,1.5,"6,205",42.0,1.3,49.8,1.5
CALIFORNIA,Female,"15,476","13,076","8,318",53.8,1.3,63.6,1.4,"7,035",45.5,1.3,53.8,1.4
CALIFORNIA,White alone,"21,467","18,311","11,711",54.6,1.1,64.0,1.2,"10,005",46.6,1.1,54.6,1.2
CALIFORNIA,White non-Hispanic alone,"11,986","11,587","8,005",66.8,1.4,69.1,1.4,"7,116",59.4,1.5,61.4,1.5
CALIFORNIA,Black alone,"1,912","1,845","1,061",55.5,4.6,57.5,4.6,933,48.8,4.6,50.6,4.7
CALIFORNIA,Asian alone,"5,222","3,983","2,061",39.5,2.8,51.7,3.3,"1,620",31.0,2.7,40.7,3.3
CALIFORNIA,Hispanic (of any race),"10,595","7,613","4,211",39.7,2.5,55.3,3.0,"3,300",31.1,2.3,43.3,3.0
CALIFORNIA,White alone or in combination,"22,303","19,010","12,125",54.4,1.1,63.8,1.2,"10,332",46.3,1.1,54.3,1.2
CALIFORNIA,Black alone or in combination,"2,094","1,999","1,154",55.1,4.4,57.7,4.4,998,47.6,4.4,49.9,4.5
CALIFORNIA,Asian alone or in combination,"5,571","4,320","2,278",40.9,2.8,52.7,3.2,"1,795",32.2,2.6,41.5,3.1
COLORADO,Total,"4,353","4,029","2,645",60.8,2.5,65.6,2.5,"2,342",53.8,2.5,58.1,2.6
COLORADO,Male,"2,171","2,004","1,315",60.6,3.5,65.6,3.5,"1,144",52.7,3.6,57.1,3.7
COLORADO,Female,"2,182","2,025","1,330",61.0,3.5,65.7,3.5,"1,198",54.9,3.5,59.2,3.6
COLORADO,White alone,"3,911","3,666","2,439",62.4,2.6,66.5,2.6,"2,185",55.9,2.6,59.6,2.7
COLORADO,White non-Hispanic alone,"3,136","3,107","2,141",68.3,2.8,68.9,2.8,"1,945",62.0,2.9,62.6,2.9
COLORADO,Black alone,185,170,73,39.6,14.5,43.1,15.3,51,27.8,13.3,30.3,14.2
COLORADO,Asian alone,156,93,75,47.7,16.8,80.6,17.3,66,42.3,16.6,71.5,19.7
COLORADO,Hispanic (of any race),806,590,323,40.1,9.0,54.8,10.7,259,32.1,8.6,43.9,10.7
COLORADO,White alone or in combination,"3,998","3,753","2,486",62.2,2.6,66.2,2.6,"2,213",55.4,2.6,59.0,2.7
COLORADO,Black alone or in combination,219,204,88,40.3,13.3,43.3,14.0,63,28.8,12.3,31.0,13.0
COLORADO,Asian alone or in combination,185,121,89,48.3,15.5,73.8,16.8,73,39.2,15.1,60.0,18.7
CONNECTICUT,Total,"2,834","2,539","1,726",60.9,2.6,68.0,2.7,"1,370",48.3,2.7,54.0,2.9
CONNECTICUT,Male,"1,365","1,222",804,58.9,3.8,65.8,3.9,662,48.5,3.9,54.2,4.1
CONNECTICUT,Female,"1,469","1,316",921,62.7,3.6,70.0,3.6,708,48.2,3.8,53.8,4.0
CONNECTICUT,White alone,"2,326","2,141","1,483",63.8,2.9,69.3,2.9,"1,193",51.3,3.0,55.7,3.1
CONNECTICUT,White non-Hispanic alone,"1,934","1,888","1,347",69.7,3.0,71.3,3.0,"1,090",56.4,3.3,57.7,3.3
CONNECTICUT,Black alone,319,258,158,49.6,9.8,61.3,10.6,124,39.0,9.5,48.2,10.9
CONNECTICUT,Asian alone,142,100,51,36.1,14.7,51.4,18.2,38,26.5,13.5,37.7,17.7
CONNECTICUT,Hispanic (of any race),464,293,164,35.3,10.1,55.9,13.2,120,25.9,9.2,41.1,13.0
CONNECTICUT,White alone or in combination,"2,356","2,171","1,506",63.9,2.9,69.4,2.9,"1,201",51.0,3.0,55.3,3.1
CONNECTICUT,Black alone or in combination,335,274,174,51.9,9.5,63.5,10.2,132,39.5,9.3,48.3,10.5
CONNECTICUT,Asian alone or in combination,154,112,59,38.4,14.3,52.9,17.2,38,24.5,12.7,33.7,16.3
DELAWARE,Total,756,713,472,62.4,2.6,66.3,2.6,369,48.8,2.7,51.8,2.8
DELAWARE,Male,359,334,215,59.8,3.8,64.3,3.9,167,46.4,3.9,49.9,4.0
DELAWARE,Female,397,379,258,64.8,3.5,68.0,3.5,202,50.9,3.7,53.4,3.8
DELAWARE,White alone,540,513,340,62.9,3.1,66.2,3.1,264,48.8,3.2,51.4,3.3
DELAWARE,White non-Hispanic alone,477,468,316,66.3,3.2,67.6,3.2,247,51.7,3.4,52.7,3.4
DELAWARE,Black alone,163,159,109,66.5,6.6,68.2,6.6,90,54.8,7.0,56.2,7.0
DELAWARE,Asian alone,41,28,15,B,B,B,B,11,B,B,B,B
DELAWARE,Hispanic (of any race),73,52,27,B,B,B,B,20,B,B,B,B
DELAWARE,White alone or in combination,548,521,346,63.2,3.0,66.5,3.1,266,48.6,3.2,51.1,3.2
DELAWARE,Black alone or in combination,173,168,116,67.3,6.4,68.9,6.4,93,53.8,6.8,55.2,6.8
DELAWARE,Asian alone or in combination,43,31,15,B,B,B,B,11,B,B,B,B
DISTRICT OF COLUMBIA,Total,567,512,397,70.0,2.5,77.6,2.4,313,55.2,2.7,61.1,2.8
DISTRICT OF COLUMBIA,Male,264,235,179,68.1,3.7,76.3,3.6,141,53.3,4.0,59.8,4.2
DISTRICT OF COLUMBIA,Female,304,277,218,71.7,3.4,78.6,3.2,172,56.7,3.7,62.3,3.8
DISTRICT OF COLUMBIA,White alone,270,247,207,76.5,3.4,83.5,3.1,168,62.1,3.9,67.8,3.9
DISTRICT OF COLUMBIA,White non-Hispanic alone,235,223,191,81.3,3.3,85.8,3.1,155,65.9,4.0,69.5,4.0
DISTRICT OF COLUMBIA,Black alone,251,228,163,65.2,4.8,71.7,4.7,123,48.9,5.0,53.7,5.2
DISTRICT OF COLUMBIA,Asian alone,30,22,16,B,B,B,B,13,B,B,B,B
DISTRICT OF COLUMBIA,Hispanic (of any race),53,35,24,B,B,B,B,20,B,B,B,B
DISTRICT OF COLUMBIA,White alone or in combination,281,257,214,76.3,3.3,83.4,3.0,174,62.0,3.8,67.8,3.8
DISTRICT OF COLUMBIA,Black alone or in combination,258,234,169,65.5,4.7,72.1,4.6,128,49.5,4.9,54.5,5.1
DISTRICT OF COLUMBIA,Asian alone or in combination,33,25,17,B,B,B,B,14,B,B,B,B
FLORIDA,Total,"16,845","15,047","9,435",56.0,1.2,62.7,1.3,"7,918",47.0,1.3,52.6,1.3
FLORIDA,Male,"8,035","7,145","4,383",54.6,1.8,61.4,1.9,"3,648",45.4,1.8,51.1,1.9
FLORIDA,Female,"8,810","7,902","5,052",57.3,1.7,63.9,1.8,"4,270",48.5,1.7,54.0,1.8
FLORIDA,White alone,"13,425","12,154","7,798",58.1,1.4,64.2,1.4,"6,579",49.0,1.4,54.1,1.5
FLORIDA,White non-Hispanic alone,"9,592","9,332","6,211",64.8,1.6,66.6,1.6,"5,315",55.4,1.7,57.0,1.7
FLORIDA,Black alone,"2,644","2,317","1,340",50.7,3.8,57.9,4.0,"1,094",41.4,3.8,47.2,4.1
FLORIDA,Asian alone,454,330,159,35.0,9.2,48.2,11.3,134,29.4,8.8,40.5,11.1
FLORIDA,Hispanic (of any race),"4,288","3,146","1,723",40.2,3.8,54.8,4.5,"1,393",32.5,3.7,44.3,4.5
FLORIDA,White alone or in combination,"13,676","12,353","7,899",57.8,1.4,63.9,1.4,"6,666",48.7,1.4,54.0,1.5
FLORIDA,Black alone or in combination,"2,842","2,463","1,418",49.9,3.7,57.6,3.9,"1,167",41.1,3.6,47.4,4.0
FLORIDA,Asian alone or in combination,458,334,159,34.8,9.2,47.7,11.3,134,29.2,8.7,40.1,11.0
GEORGIA,Total,"7,850","7,311","4,840",61.7,1.8,66.2,1.8,"4,084",52.0,1.9,55.9,1.9
GEORGIA,Male,"3,700","3,417","2,189",59.2,2.7,64.0,2.7,"1,814",49.0,2.7,53.1,2.8
GEORGIA,Female,"4,150","3,893","2,651",63.9,2.5,68.1,2.5,"2,270",54.7,2.6,58.3,2.6
GEORGIA,White alone,"4,949","4,686","3,093",62.5,2.3,66.0,2.3,"2,581",52.2,2.4,55.1,2.4
GEORGIA,White non-Hispanic alone,"4,491","4,454","2,973",66.2,2.3,66.8,2.3,"2,496",55.6,2.5,56.1,2.5
GEORGIA,Black alone,"2,439","2,305","1,577",64.7,3.9,68.4,3.9,"1,374",56.3,4.0,59.6,4.1
GEORGIA,Asian alone,318,191,108,33.9,11.1,56.4,15.0,84,26.3,10.3,43.8,15.0
GEORGIA,Hispanic (of any race),525,264,135,25.7,9.9,51.2,16.0,101,19.2,9.0,38.2,15.6
GEORGIA,White alone or in combination,"5,043","4,780","3,135",62.2,2.3,65.6,2.3,"2,609",51.7,2.3,54.6,2.4
GEORGIA,Black alone or in combination,"2,495","2,361","1,600",64.1,3.9,67.8,3.9,"1,382",55.4,4.0,58.5,4.1
GEORGIA,Asian alone or in combination,327,200,108,33.0,10.9,53.9,14.8,84,25.6,10.1,41.9,14.6
HAWAII,Total,"1,057",971,523,49.5,2.7,53.9,2.8,427,40.4,2.7,44.0,2.8
HAWAII,Male,504,462,237,46.9,3.9,51.2,4.1,193,38.3,3.8,41.7,4.1
HAWAII,Female,553,509,287,51.9,3.8,56.4,3.9,234,42.4,3.7,46.1,3.9
HAWAII,White alone,237,231,137,57.9,5.7,59.3,5.7,111,46.8,5.7,47.9,5.8
HAWAII,White non-Hispanic alone,211,206,125,59.3,6.0,60.7,6.0,104,49.3,6.1,50.4,6.1
HAWAII,Black alone,22,21,10,B,B,B,B,4,B,B,B,B
HAWAII,Asian alone,480,417,218,45.4,5.1,52.2,5.5,186,38.7,5.0,44.6,5.4
HAWAII,Hispanic (of any race),82,79,34,41.3,15.1,42.9,15.4,25,29.7,14.0,30.9,14.4
HAWAII,White alone or in combination,351,346,211,60.0,4.6,61.0,4.6,171,48.6,4.7,49.3,4.8
HAWAII,Black alone or in combination,28,27,15,B,B,B,B,8,B,B,B,B
HAWAII,Asian alone or in combination,590,527,285,48.2,4.6,54.0,4.8,241,40.9,4.5,45.7,4.8
IDAHO,Total,"1,299","1,226",743,57.2,2.7,60.6,2.7,587,45.2,2.7,47.9,2.8
IDAHO,Male,645,608,362,56.1,3.8,59.5,3.9,286,44.3,3.8,47.0,3.9
IDAHO,Female,654,618,381,58.2,3.8,61.6,3.8,301,46.0,3.8,48.7,3.9
IDAHO,White alone,"1,214","1,163",708,58.3,2.8,60.9,2.8,555,45.7,2.8,47.7,2.8
IDAHO,White non-Hispanic alone,"1,048","1,044",664,63.3,2.9,63.6,2.9,531,50.6,3.0,50.9,3.0
IDAHO,Black alone,8,8,8,B,B,B,B,6,B,B,B,B
IDAHO,Asian alone,33,22,9,B,B,B,B,8,B,B,B,B
IDAHO,Hispanic (of any race),182,126,51,27.7,10.1,40.0,13.3,30,16.5,8.4,23.8,11.6
IDAHO,White alone or in combination,"1,232","1,178",715,58.0,2.7,60.7,2.8,562,45.6,2.8,47.7,2.8
IDAHO,Black alone or in combination,12,12,11,B,B,B,B,9,B,B,B,B
IDAHO,Asian alone or in combination,33,22,9,B,B,B,B,8,B,B,B,B
ILLINOIS,Total,"9,732","8,947","6,068",62.4,1.6,67.8,1.6,"4,740",48.7,1.7,53.0,1.7
ILLINOIS,Male,"4,711","4,316","2,794",59.3,2.4,64.7,2.4,"2,183",46.3,2.4,50.6,2.5
ILLINOIS,Female,"5,021","4,630","3,274",65.2,2.2,70.7,2.2,"2,557",50.9,2.3,55.2,2.4
ILLINOIS,White alone,"7,564","7,078","4,892",64.7,1.8,69.1,1.8,"3,802",50.3,1.9,53.7,2.0
ILLINOIS,White non-Hispanic alone,"6,248","6,120","4,436",71.0,1.9,72.5,1.9,"3,494",55.9,2.1,57.1,2.1
ILLINOIS,Black alone,"1,334","1,274",861,64.5,5.3,67.6,5.3,723,54.2,5.5,56.8,5.6
ILLINOIS,Asian alone,673,455,205,30.5,7.4,45.1,9.8,150,22.4,6.7,33.1,9.2
ILLINOIS,Hispanic (of any race),"1,458","1,061",537,36.8,6.6,50.6,8.0,354,24.3,5.8,33.3,7.5
ILLINOIS,White alone or in combination,"7,666","7,180","4,973",64.9,1.8,69.3,1.8,"3,857",50.3,1.9,53.7,1.9
ILLINOIS,Black alone or in combination,"1,382","1,322",895,64.7,5.2,67.7,5.2,740,53.5,5.4,56.0,5.5
ILLINOIS,Asian alone or in combination,688,470,214,31.2,7.4,45.6,9.6,160,23.2,6.7,34.0,9.2
INDIANA,Total,"5,006","4,792","3,131",62.5,2.2,65.3,2.3,"2,364",47.2,2.3,49.3,2.4
INDIANA,Male,"2,404","2,331","1,522",63.3,3.2,65.3,3.2,"1,115",46.4,3.3,47.8,3.4
INDIANA,Female,"2,602","2,461","1,609",61.8,3.1,65.4,3.1,"1,249",48.0,3.2,50.7,3.3
INDIANA,White alone,"4,260","4,125","2,723",63.9,2.4,66.0,2.4,"2,066",48.5,2.5,50.1,2.6
INDIANA,White non-Hispanic alone,"3,937","3,921","2,634",66.9,2.5,67.2,2.5,"1,996",50.7,2.6,50.9,2.6
INDIANA,Black alone,484,468,299,61.8,8.8,63.9,8.8,221,45.7,9.0,47.2,9.2
INDIANA,Asian alone,138,98,40,28.9,16.0,40.5,20.5,27,19.7,14.1,27.6,18.7
INDIANA,Hispanic (of any race),337,212,96,28.4,12.7,45.2,17.7,77,22.9,11.8,36.5,17.1
INDIANA,White alone or in combination,"4,342","4,197","2,775",63.9,2.4,66.1,2.4,"2,099",48.3,2.5,50.0,2.5
INDIANA,Black alone or in combination,544,518,329,60.4,8.3,63.5,8.4,245,45.0,8.5,47.2,8.7
INDIANA,Asian alone or in combination,147,108,49,33.5,16.1,45.7,19.9,34,22.8,14.3,31.1,18.5
IOWA,Total,"2,376","2,239","1,658",69.8,2.6,74.0,2.5,"1,335",56.2,2.8,59.6,2.8
IOWA,Male,"1,176","1,105",833,70.8,3.6,75.4,3.5,660,56.1,3.9,59.7,4.0
IOWA,Female,"1,201","1,134",825,68.7,3.6,72.7,3.6,675,56.2,3.9,59.5,4.0
IOWA,White alone,"2,192","2,119","1,580",72.1,2.6,74.5,2.6,"1,270",57.9,2.9,59.9,2.9
IOWA,White non-Hispanic alone,"2,007","1,983","1,499",74.7,2.6,75.6,2.6,"1,206",60.1,3.0,60.8,3.0
IOWA,Black alone,89,76,47,52.6,17.4,61.3,18.3,41,46.4,17.4,54.1,18.8
IOWA,Asian alone,62,22,14,B,B,B,B,12,B,B,B,B
IOWA,Hispanic (of any race),206,148,85,41.5,14.7,57.8,17.4,69,33.5,14.1,46.7,17.5
IOWA,White alone or in combination,"2,218","2,133","1,591",71.8,2.6,74.6,2.6,"1,279",57.7,2.8,60.0,2.9
