State,Elec_Votes,Pct_Dem,Pct_Rep,Margin
AL,9,36.4,62.5,-26.1
AK,3,39.1,56.9,-17.8
AZ,11,49.4,49.1,0.3
AR,6,34.6,62.6,-28
CA,55,64.3,33.6,30.7
CO,9,55.3,42.1,13.2
CT,7,59.3,39.2,20.1
DE,3,58.8,39.8,19
DC,3,93.2,5.3,87.9
FL,29,47.9,51.2,-3.3
GA,16,49.5,49.2,0.3
HI,4,63.7,34.3,29.4
ID,4,33.1,63.9,-30.8
IL,20,55.8,42.3,13.5
IN,11,41,57.1,-16.1
IA,6,45,53.2,-8.2
KS,6,41.3,56.5,-15.2
KY,8,36.2,62.1,-25.9
LA,8,39.8,58.5,-18.7
ME,4,52.9,44.2,8.7
MD,10,64.4,33.8,30.6
MA,11,65.6,32.6,33
MI,16,50.6,47.9,2.7
MN,10,52.6,45.4,7.2
MS,6,38.8,59.7,-20.9
MO,10,41.3,56.9,-15.6
MT,3,40.6,56.9,-16.3
NE,5,39.2,58.7,-19.5
NV,6,50.2,47.5,2.7
NH,4,52.8,45.6,7.2
NJ,14,57.5,41.3,16.2
NM,5,54.2,43.6,10.6
NY,29,55.7,43,12.7
NC,15,48.7,50.1,-1.4
ND,3,31.9,65.5,-33.6
OH,18,45.2,53.4,-8.2
OK,7,32.3,65.4,-33.1
OR,7,57,40.6,16.4
PA,20,49.8,49.1,0.7
RI,4,59.4,39.1,20.3
SC,9,43.4,55.1,-11.7
SD,3,35.6,61.8,-26.2
TN,11,37.4,60.7,-23.3
TX,38,46.4,52.2,-5.8
UT,6,37.6,58.3,-20.7
VT,3,66.4,30.8,35.6
VA,13,54.1,44.4,9.7
WA,12,58.5,38.9,19.6
WV,5,29.6,68.7,-39.1
WI,10,49.6,48.9,0.7
WY,3,26.7,70.4,-43.7